HMM	soft_bitscore_cutoff
AsbE_petrobactin_synthesis-rep	147.6
Cyc1	98
Cyc2_repCluster1	31.5
Cyc2_repCluster2	27.8
Cyc2_repCluster3	27.3
CymA	237
DhbA-VibA-VabA-EntA	240.5
DhbB-EntB-VenB-VibB-VabB	196.1
DhbC-VibC-VabC	376.9
DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ	467.8
DhbF-PvdDIJL-VabF	1091.9
EfeB	185.4
EfoO-Iron_uptake	31.7
FbpA-iron_binding_and_transport-rep	80.1
FbpB-iron_permease_fam1-rep	118
FbpB-iron_permease_fam2-rep	88.4
FbpC-iron_uptake_ATPase-rep	360.3
FecB-PvuB-vibrioferrin_transport	174.6
FecE-PvuE-FhuC-CbrD-FepC-YusV-FpuD-FpuC-PiuA-PirA-FepA-RhtA	200.1
FeuB-FhuB-PvuC-CbrB-PvuD-FeuC-CbrC	151.8
FhuB-FeuB-CbrB-PvuC-iron_ABC_transporter_periplasmic	228.1
FoxA	128
FoxB	66
FoxC	62
FoxE	37
FoxY	124
FoxZ	150
FpuC-FhuC-FpuD-YusV-CbrD-FepC-PvuE-FecE-ATPase	269.5
FpuCD-YusV-CbrD-FepC-FepE-PvuE-ABC_transporters_ATPase	269.5
FpvK-sid_Pyoverdine_uptake-rep	25.6
FutA1-iron_ABC_transporter_iron-binding-rep	112
FutA2-iron_ABC_transporter_iron-binding-rep	115
FutC-iron_ABC_transporter_ATPase-rep	376
HasB-TonB_paralog_heme_uptake-rep	75
HmuR-TonB_dependent_heme_receptor-rep	50
HmuV-Hemin_ABC_transporter_ATPase-rep	220
HugZ-ChuZ-heme_oxygenase-rep	192
HutZ-heme_storage-rep	227
IroC-salmochelin_transport-rep	454
IroD-enterochelin_esterase-rep	99.7
IsdG-heme-oxygenase_fam1-rep	102
IsdG-heme-oxygenase_fam2-rep	101.8
IsdG-heme-oxygenase_fam3-rep	647.7
IsdI-heme-oxygenase-rep	77
